run,task_name,model_name,method,lora_placement,lora_r,lora_alpha,lora_dropout,max_train_samples,max_train_questions,max_eval_questions,num_negative_candidates,layer_indices,trainable_parameters,train_candidate_examples,eval_candidate_examples,primary_metric,primary_metric_value,answer_selection_accuracy,mrr,matthews_correlation,f1,accuracy,ece,calibration_accuracy,nll,brier,mean_confidence,abstention_rate,coverage,selective_accuracy,ood_mean_confidence,ood_abstention_rate
cola_lora_r16_attention,cola,roberta-base,lora,attention,16,32.0,0.1,,,,,all,1181954,,,matthews_correlation,0.5752393119535992,,,0.5752393119535992,,0.8274209012464045,0.09190454368475848,0.9080954563152415,0.47253458494461514,0.27049320121174814,0.9193254449311632,0.14956855225311602,0.850431447746884,0.8680947012401353,,
cola_lora_r16_attention_mlp,cola,roberta-base,lora,attention_mlp,16,32.0,0.1,,,,,all,2656514,,,matthews_correlation,0.5861472777603488,,,0.5861472777603488,,0.8312559923298178,0.1279714945588751,0.8720285054411249,0.5789126114762453,0.28283399277163424,0.9592274868886929,0.0738255033557047,0.9261744966442953,0.860248447204969,,
cola_lora_r16_mlp,cola,roberta-base,lora,mlp,16,32.0,0.1,,,,,all,2066690,,,matthews_correlation,0.5812018675459495,,,0.5812018675459495,,0.8293384467881112,0.1271803827967271,0.872819617203273,0.5629086077659724,0.28970309933445954,0.9538426161157815,0.08437200383509108,0.9156279961649089,0.8554973821989529,,
cola_lora_r1_attention,cola,roberta-base,lora,attention,1,32.0,0.1,,,,,all,628994,,,matthews_correlation,0.562419829892001,,,0.562419829892001,,0.822627037392138,0.1009027263497711,0.899097273650229,0.4871148887688155,0.28308915214350416,0.9132140812938357,0.1716203259827421,0.8283796740172579,0.8645833333333334,,
cola_lora_r1_attention_mlp,cola,roberta-base,lora,attention_mlp,1,32.0,0.1,,,,,all,721154,,,matthews_correlation,0.5854419516220256,,,0.5854419516220256,,0.8312559923298178,0.12288728948855908,0.8771127105114409,0.5722424437897871,0.2893453681826839,0.9520162141401252,0.08437200383509108,0.9156279961649089,0.8492146596858638,,
cola_lora_r1_mlp,cola,roberta-base,lora,mlp,1,32.0,0.1,,,,,all,684290,,,matthews_correlation,0.5676145457477023,,,0.5676145457477023,,0.8245445829338447,0.12006935494434806,0.8799306450556519,0.5258816679070393,0.29026823593262,0.9433585137535863,0.09204218600191755,0.9079578139980825,0.8511087645195353,,
cola_lora_r4_attention,cola,roberta-base,lora,attention,4,32.0,0.1,,,,,all,739586,,,matthews_correlation,0.5907413763612096,,,0.5907413763612096,,0.8331735378715245,0.09232125477736522,0.9076787452226348,0.46717429569974045,0.2652610612195822,0.9170613296293912,0.15723873441994246,0.8427612655800575,0.8725824800910125,,
cola_lora_r4_attention_mlp,cola,roberta-base,lora,attention_mlp,4,32.0,0.1,,,,,all,1108226,,,matthews_correlation,0.6056594364604692,,,0.6056594364604692,,0.8389261744966443,0.13249824810018218,0.8675017518998178,0.6332524705719064,0.2846878638818581,0.9643913343791483,0.059443911792905084,0.9405560882070949,0.854230377166157,,
cola_lora_r4_mlp,cola,roberta-base,lora,mlp,4,32.0,0.1,,,,,all,960770,,,matthews_correlation,0.5906590396340186,,,0.5906590396340186,,0.8331735378715245,0.11282588989469292,0.8871741101053071,0.513304590981531,0.2797472317620154,0.9442635470055087,0.08533077660594439,0.9146692233940557,0.8563941299790356,,
cola_lora_r8_attention,cola,roberta-base,lora,attention,8,32.0,0.1,,,,,all,887042,,,matthews_correlation,0.5752407929937235,,,0.5752407929937235,,0.8274209012464045,0.09130679765132307,0.9086932023486769,0.4703568027563964,0.27141496010420174,0.9187276988977277,0.13998082454458294,0.8600191754554171,0.8639910813823858,,
cola_lora_r8_attention_mlp,cola,roberta-base,lora,attention_mlp,8,32.0,0.1,,,,,all,1624322,,,matthews_correlation,0.5930837029344534,,,0.5930837029344534,,0.8341323106423778,0.12137000656139549,0.8786299934386045,0.5594470373891283,0.27611631352319926,0.9555023172037732,0.08533077660594439,0.9146692233940557,0.8658280922431866,,
cola_lora_r8_mlp,cola,roberta-base,lora,mlp,8,32.0,0.1,,,,,all,1329410,,,matthews_correlation,0.5676052483913692,,,0.5676052483913692,,0.8245445829338447,0.12492601538992357,0.8750739846100765,0.5288595357803832,0.2845141696874105,0.9487495371092874,0.08820709491850431,0.9117929050814957,0.8601472134595163,,
mrpc_lora_r16_attention,mrpc,roberta-base,lora,attention,16,32.0,0.1,,,,,all,1181954,,,f1,0.9094138543516875,,,,0.9094138543516875,0.875,0.055005689714927475,0.9449943102850725,0.33367573701799647,0.18512450920096776,0.9192943472664789,0.1715686274509804,0.8284313725490197,0.9319526627218935,,
mrpc_lora_r16_attention_mlp,mrpc,roberta-base,lora,attention_mlp,16,32.0,0.1,,,,,all,2656514,,,f1,0.9230769230769231,,,,0.9230769230769231,0.8946078431372549,0.07474958925341676,0.9252504107465832,0.3649798556043558,0.1781221213709178,0.9587494893588662,0.07352941176470588,0.9264705882352942,0.9126984126984127,,
mrpc_lora_r16_mlp,mrpc,roberta-base,lora,mlp,16,32.0,0.1,,,,,all,2066690,,,f1,0.916058394160584,,,,0.916058394160584,0.8872549019607843,0.08765004604749796,0.9123499539525021,0.3698828738754215,0.1945590025447467,0.9612825076306809,0.04656862745098039,0.9534313725490197,0.9023136246786633,,
mrpc_lora_r1_attention,mrpc,roberta-base,lora,attention,1,32.0,0.1,,,,,all,628994,,,f1,0.8982456140350877,,,,0.8982456140350877,0.8578431372549019,0.05442052996084656,0.9455794700391534,0.3554425228348434,0.21093947974421495,0.9029779947535509,0.19362745098039216,0.8063725490196079,0.9179331306990881,,
mrpc_lora_r1_attention_mlp,mrpc,roberta-base,lora,attention_mlp,1,32.0,0.1,,,,,all,721154,,,f1,0.9132743362831858,,,,0.9132743362831858,0.8799019607843137,0.07950151558357874,0.9204984844164212,0.3677986407547095,0.19690888988074368,0.9462878375906261,0.1053921568627451,0.8946078431372549,0.9123287671232877,,
mrpc_lora_r1_mlp,mrpc,roberta-base,lora,mlp,1,32.0,0.1,,,,,all,684290,,,f1,0.9014084507042254,,,,0.9014084507042254,0.8627450980392157,0.09883083563754014,0.9011691643624599,0.44447717562086936,0.2245286208914662,0.951294155545641,0.08823529411764706,0.9117647058823529,0.8897849462365591,,
mrpc_lora_r4_attention,mrpc,roberta-base,lora,attention,4,32.0,0.1,,,,,all,739586,,,f1,0.9019607843137256,,,,0.9019607843137256,0.8651960784313726,0.065756297206832,0.934243702793168,0.33662463293899336,0.19427819354415052,0.92976262580325,0.13480392156862744,0.8651960784313726,0.9235127478753541,,
mrpc_lora_r4_attention_mlp,mrpc,roberta-base,lora,attention_mlp,4,32.0,0.1,,,,,all,1108226,,,f1,0.9269162210338681,,,,0.9269162210338681,0.8995098039215687,0.07113664875749993,0.9288633512425001,0.3560125330781285,0.17637256809928137,0.959803567840965,0.06862745098039216,0.9313725490196079,0.9131578947368421,,
